run_id,created_at,dataset_name,dataset_hash,n_objects,n_attributes,params_json,runtime_sec,status,error_msg
7ea40749-6f1d-4dba-baaa-ecaedb620c24,2026-02-28T15:22:07,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,250,12,"{""batch"": true, ""size"": 250, ""rep"": 1, ""n_iter"": 25, ""step"": 0.4}",6.730938100001367,success,
c74a5193-b5d5-4d92-98cf-ac9b23575079,2026-02-28T15:22:01,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,250,12,"{""batch"": true, ""size"": 250, ""rep"": 0, ""n_iter"": 25, ""step"": 0.4}",6.041610500000388,success,
3820e12b-d68e-4f0a-a630-26728faf7503,2026-02-28T15:21:54,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 9, ""n_iter"": 25, ""step"": 0.4}",6.239895400000023,success,
827fad5f-b6e0-4ee4-97b7-4113be41fb6d,2026-02-28T15:21:49,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 8, ""n_iter"": 25, ""step"": 0.4}",5.812893899999835,success,
9b235b02-8b32-42b8-8b53-b214f6bb1ca9,2026-02-28T15:21:43,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 7, ""n_iter"": 25, ""step"": 0.4}",5.997393899999224,success,
fcfa26f6-41bc-492c-99a9-96c5670ade4d,2026-02-28T15:21:36,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 6, ""n_iter"": 25, ""step"": 0.4}",6.181300300000657,success,
4b3dbcba-49ad-4b6d-9f61-bc41eb931338,2026-02-28T15:21:31,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 5, ""n_iter"": 25, ""step"": 0.4}",5.866760900000372,success,
6afebf72-d802-42b6-af2f-31d7f9648438,2026-02-28T15:21:24,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 4, ""n_iter"": 25, ""step"": 0.4}",6.033767400000215,success,
28cd75fd-8ac9-40de-b828-d868f8aeca58,2026-02-28T15:21:18,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 3, ""n_iter"": 25, ""step"": 0.4}",6.059826700000485,success,
dce8d322-53db-4bfd-8cfe-8db83b4d3885,2026-02-28T15:21:12,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 2, ""n_iter"": 25, ""step"": 0.4}",5.875644400000965,success,
4f8640bd-6819-4579-abbb-9014a1961079,2026-02-28T15:21:06,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 1, ""n_iter"": 25, ""step"": 0.4}",6.38902059999964,success,
dd0f7544-4a35-4473-85df-0eb3f8fb6587,2026-02-28T15:20:54,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 0, ""n_iter"": 25, ""step"": 0.4}",12.003853799998979,success,
561d0a69-0a3b-484f-8a92-affee7654ad5,2026-02-28T15:20:53,RedWineQuality OAM.xlsx,88191e12fca69d5a78c66e831f4b152acba2c71815795ee30cb5487a6e2338e5,100,12,"{""batch"": true, ""size"": 100, ""rep"": 1, ""n_iter"": 25, ""step"": 0.4}",12.487547700000505,success,
